Date;house_price;FTEE;CtE;Yearwage;population;EHW;SandP500;SandP500wu;Wiwu;u;ln_stock;u_transformed
1972Q1;21.84101898;71749.125;701.1;9.77143296456865;208.974996490624;467.099030535962;105.4;10786.5448580758;89.861293169744;5.76666666666666;9.28605478992595;1.81149042279228
1972Q2;21.97156561;72301.875;715.8;9.90008711669086;209.624994184374;465.227149915964;108.166666666666;10925.8297822758;90.4502378067584;5.7;9.2988849696906;1.79915517118918
1972Q3;22.35752956;72950.375;729.7;10.0025729573434;210.224992646874;469.890247978914;109.2;10917.191053311;90.7424584060927;5.56666666666666;9.29809398665943;1.77407249857433
1972Q4;22.37455738;73694.625;753.9;10.2298337975457;210.774991878124;461.004278601043;114.066666666666;11150.3929510597;91.3126526883659;5.36666666666666;9.31923001851478;1.73536739449958
1973Q1;22.34617768;75125.875;781.7;10.4050302133444;211.1499938;453.472520678929;115;11052.3465710376;90.2582654144823;4.93333333333333;9.31039804377076;1.64660667821802
1973Q2;22.40861302;75825.125;800.8;10.5610422353576;211.6499938;449.082836812366;107.433333333333;10172.6071100875;85.366246073989;4.93333333333333;9.22745380919741;1.64660667821802
1973Q3;22.60727094;76383.625;819.9;10.7338793701754;212.1499938;446.821901416389;105.066666666666;9788.32191449801;83.2044974277946;4.8;9.18894531271177;1.61780616210462
1973Q4;23.0216146;76801.375;842.5;10.9697758167875;212.6499938;446.275865953809;102.193333333333;9315.89989076553;80.7084245404411;4.76666666666666;9.13947788500033;1.61048741401722
1974Q1;23.555153;77175.5624999999;860.7;11.1524448783909;213.1499938;450.195519516655;95.6666666666666;8578.08917325665;77.1551997619888;5.13333333333333;9.05696646059946;1.68845300975192
1974Q2;23.99787636;77272.9374999999;881.4;11.4063199911985;213.6499938;449.500464609396;90.64;7946.47178668851;73.8205368820396;5.2;8.98048330872329;1.7020594023145
1974Q3;24.47465536;77190.6875;903.1;11.6996387885599;214.1499938;447.983684652394;74.4866666666666;6366.57832030685;65.4954276659637;5.63333333333333;8.75881744887874;1.78668361579926
1974Q4;25.1671201;76928.8124999999;915.8;11.9047252566283;214.6499938;453.779659502941;69.4166666666666;5831.01795045769;63.1295627244426;6.6;8.67094686967012;1.95534848978567
1975Q1;26.32501196;75397.3125;919.5;12.1956020127674;215.064666666666;464.231279132131;78.8133333333333;6462.43893912123;67.1686039646834;8.26666666666666;8.77376207028017;2.19851573309984
1975Q2;26.957615;75212.1875;931.7;12.3876344592401;215.548;469.069378591952;89.0733333333333;7190.5038549868;71.3043361181295;8.86666666666666;8.88051652544851;2.2751454774859
1975Q3;26.84418273;75283.4375;957.7;12.721191328054;216.187;456.196529255273;87.6233333333333;6887.98172071336;68.8005140128657;8.46666666666666;8.83753339231679;2.22460386667871
1975Q4;27.28918624;75611.0625;987.6;13.0613627130427;216.763;452.884282206962;89.1133333333333;6822.66738097299;68.2214039846229;8.3;8.82800578595293;2.20290332152822
1976Q1;27.66874807;76778.34375;1022.4;13.316060269999;217.241666666666;451.395144166567;99.52;7473.68200369429;71.4990153424531;7.73333333333333;8.91914306213657;2.12602724091684
1976Q2;28.64601069;77385.40625;1046.1;13.5179315157289;217.691333333333;461.312313539322;101.633333333333;7518.40865705502;72.448605285579;7.56666666666666;8.925109779797;2.10243515785372
1976Q3;28.93395414;78015.53125;1070.8;13.7253378654985;218.236;460.056464735173;104.333333333333;7601.51293583793;72.7899496667102;7.73333333333333;8.93610257696751;2.12602724091684
1976Q4;29.3702321;78668.71875;1098.1;13.9583946603137;218.828;460.441856415769;102.6;7350.41546659451;71.5121066451515;7.76666666666666;8.90251211667662;2.13068965976687
1977Q1;30.32568083;79185.4374999999;1127;14.2322330316619;219.342333333333;467.369075420304;101.8;7152.77776674465;70.9852285399601;7.5;8.87525605908732;2.09286456201198
1977Q2;31.71740751;79948.5625;1164.4;14.5641476010511;219.863;478.811706554515;99.0333333333333;6799.80291645671;69.9770615494664;7.13333333333333;8.82464890787017;2.03878404667019
1977Q3;32.42854058;80798.5625;1196.9;14.8131652464588;220.461666666666;482.628120653923;98.06;6619.78708591278;69.3169059700251;6.9;8.79781848616501;2.00301741330828
1977Q4;33.54104937;81735.4374999999;1233.7;15.0935774021787;221.105333333333;491.341761048189;93.9466666666666;6224.28097484071;67.8902703929558;6.66666666666666;8.73621320861189;1.96611285637283
1978Q1;34.61429315;83180.28125;1269.7;15.2641308720362;221.632666666666;502.593836486992;89.35;5853.59236952617;66.7762146995456;6.33333333333333;8.67481083201666;1.91125449582079
1978Q2;36.02783373;84122.46875;1317.9;15.6661763004257;222.182;510.956598489278;95.9266666666666;6123.17037847072;68.7826480388225;6;8.71983527707003;1.85363487294614
1978Q3;37.05744971;84983.09375;1354.8;15.9417620821857;222.814333333333;517.943431196603;101.663333333333;6377.17040369946;70.6085961747516;6.03333333333333;8.76047976756708;1.8595297261398
