N,price,dividend
407,106.5861865,4.044273908
408,107.6298701,4.044273908
409,109.9781582,4.044273908
410,114.8051948,4.044273908
411,119.4772999,4.224611708
412,118.0250896,4.224611708
413,113.4359903,4.270531401
414,114.7705314,4.270531401
415,118.3737923,4.270531401
416,121.4575866,4.224611708
417,123.1781401,4.403985507
418,124.9130435,4.403985507
419,122.9097969,4.356630824
420,124.459268,4.305194805
421,128.7644628,4.435655254
422,127.8512397,4.435655254
423,124.7201889,4.566115702
424,123.0242031,4.566115702
425,118.5035047,4.647196262
426,120.0525701,4.776285047
427,120.9094203,4.937801932
428,126.9380165,4.957497048
429,129.4760514,4.905373832
430,122.876,4.925142857
431,123.9847458,4.869491525
432,121.6241611,4.944071588
433,119.3649718,4.994350282
434,113.1891593,5.011615044
435,103.2074944,5.067673378
436,103.7019016,5.067673378
437,98.033954,5.083242059
438,93.85915493,5.028169014
439,97.45070423,5.028169014
440,90.14788732,5.147887324
441,89.19014085,5.147887324
442,78.72532189,5.098175966
443,77.25111857,5.438478747
444,82.96971429,5.556571429
445,87.40473441,5.614318707
446,85.19859813,5.550817757
447,88.68399533,5.550817757
448,92.38106236,5.486720554
449,97.3573903,5.359122402
450,97.48498845,5.359122402
451,100.0182857,5.304
452,104.312,5.177714286
453,103.1754286,5.177714286
454,103.2581921,5.11920904
455,109.1403803,4.944071588
456,110.3777655,4.889380531
457,111.9832215,4.944071588
458,107.5663717,5.011615044
459,109.0331858,5.011615044
460,111.5774648,4.908450704
461,114.1754292,4.979613734
462,114.9575372,4.926751592
463,116.5997877,4.926751592
464,118.2849632,4.996319664
465,117.1690947,4.944328824
466,115.3484694,4.848469388
467,113.6252525,4.911111111
468,113.9289289,4.866866867
469,112.5090909,4.911111111
470,108.4909091,5.022727273
471,109.0763132,4.92814668
472,105.5068762,4.884577603
473,105.7437437,4.977477477
474,101.5707071,5.134343434
475,96.43636364,5.134343434
476,99.78826531,5.186734694
477,101.5005155,5.240206186
478,109.3269639,5.513269639
479,111.4577465,5.626760563
480,108.3450704,5.626760563
481,110.9788732,5.626760563
482,116.5564877,5.809284116
483,113.9225664,5.745022124
484,117.1931429,5.935428571
485,119.7188571,5.935428571
486,122.1182857,5.935428571
487,120.2389831,5.868361582
488,110.9841183,5.688389923
489,103.7957746,5.626760563
490,104.3943662,5.626760563
491,109.7738226,5.688389923
492,111.3556416,5.745022124
493,110.3789704,5.688389923
494,108.2253521,5.626760563
495,109.0923567,5.513269639
496,109.2469072,5.354123711
497,109.1329897,5.354123711
498,110.1550468,5.51925078
499,110.2700312,5.51925078
500,111.7530928,5.468041237
501,111.1765306,5.412244898
502,110.9510204,5.412244898
503,109.7107143,5.412244898
504,106.8546392,5.468041237
505,104.8622449,5.412244898
506,101.1413265,5.412244898
507,99.2244898,5.412244898
508,99.11173469,5.412244898
509,97.39948454,5.468041237
510,91.55714286,5.412244898
511,91.86010101,5.357575758
512,94.31565657,5.357575758
513,94.2565,5.304
514,91.273,5.304
515,88.07178218,5.251485149
516,88.842,5.304
517,92.4885,5.304
518,94.65050505,5.245959596
519,92.86464646,5.245959596
520,91.55714286,5.186734694
521,91.19040404,5.134343434
522,90.74393939,5.022727273
523,84.864,4.9725
524,83.2,4.766666667
525,83.2,4.766666667
526,84.02376238,4.704455446
527,83.2,4.658333333
528,80.41336634,4.595049505
529,81.83564356,4.595049505
530,81.549,4.641
531,84.49343434,4.687878788
532,89.947,4.641
533,86.97772277,4.595049505
534,87.96237624,4.704455446
535,87.63415842,4.704455446
536,91.3539604,4.704455446
537,94.74554455,4.704455446
538,99.01666667,4.658333333
539,101.4883495,4.613106796
540,101.7029126,4.613106796
541,99.13125,4.675
542,97.75,4.78125
543,96.50333333,4.840952381
544,94.5504717,4.899528302
545,95.73224299,4.957009346
546,95.76666667,5.115740741
547,94.43657407,5.218055556
548,94.27981651,5.271559633
549,96.36396396,5.276126126
550,97.5920354,5.280530973
551,98.10478261,5.284782609
552,93.35344828,5.334482759
553,90.38333333,5.383333333
554,83.15125,5.340833333
555,85.72958333,5.432916667
556,80.41944444,5.261904762
557,76.48671875,5.266015625
558,76.84,5.355
559,75.88242188,5.525
560,72.505,5.525
561,67.46315789,5.483458647
562,62.86222222,5.484074074
563,57.6237037,5.565925926
564,54.84671533,5.565328467
565,56.9075,5.367142857
566,58.22801418,5.25070922
567,57.46,5.209285714
568,56.10598592,5.058098592
569,56.69793103,4.877241379
570,56.00170068,4.735714286
571,54.95728477,4.537086093
572,54.38896104,4.376948052
573,53.06815287,4.222929936
574,54.283125,4.0746875
575,54.6398773,3.93190184
576,52.90606061,3.817272727
577,52.57121212,3.817272727
578,53.74938272,3.819753086
579,54.71097561,3.773170732
580,55.51467066,3.705389222
581,58.65,3.596153846
582,60.21923077,3.596153846
583,60.39396552,3.492816092
584,55.37485876,3.371186441
585,55.93286517,3.352247191
586,57.8140884,3.296685083
587,54.89162162,3.165675676
588,52.15132275,3.098677249
589,50.55518135,3.034455959
590,45.9,3.003333333
591,48.63121827,2.97284264
592,46.81280788,2.830541872
593,43.23446602,2.789320388
