"DATES" "FL664090005.Q" "FL663020003.Q" "FL662051003.Q" "FL664022005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069005.Q" "LM663064103.Q" "FL663092003.Q" "FL663090005.Q" "FL664190005.Q" "FL662151003.Q" "FL663163003.Q" "FL664123005.Q" "FL663168005.Q" "FL153067005.Q" "FL663170003.Q" "FL663178003.Q" "FL663192003.Q" "FL663190005.Q" "FL663194005.Q" "FL663193005.Q"
"196302" 8206.00 655.00 0.00 1972.00 0.00 963.00 0.00 643.00 366.00 5423.00 156.00 453.00 -453.00 8157.00 0.00 0.00 6818.00 7726.00 -908.00 325.00 40.00 263.00 711.00 0.00 711.00
"196303" 8870.00 671.00 0.00 2202.00 0.00 1394.00 0.00 494.00 314.00 5893.00 104.00 469.00 -469.00 8809.00 0.00 0.00 7460.00 8454.00 -994.00 330.00 52.00 261.00 706.00 0.00 706.00
"196304" 9167.00 672.00 0.00 1921.00 0.00 718.00 0.00 514.00 689.00 6095.00 479.00 485.00 -485.00 9108.00 0.00 0.00 7739.00 8885.00 -1146.00 330.00 57.00 276.00 706.00 0.00 706.00
"196401" 8280.00 694.00 0.00 1479.00 0.00 569.00 0.00 520.00 390.00 5926.00 181.00 502.00 -502.00 8206.00 0.00 0.00 6840.00 6993.00 -153.00 340.00 56.00 274.00 696.00 0.00 696.00
"196402" 9303.00 689.00 0.00 2257.00 0.00 1021.00 0.00 596.00 640.00 5927.00 430.00 519.00 -519.00 9218.00 0.00 0.00 7855.00 9232.00 -1377.00 340.00 50.00 276.00 697.00 0.00 697.00
"196403" 9157.00 684.00 0.00 2564.00 0.00 1535.00 0.00 673.00 356.00 5764.00 145.00 537.00 -537.00 9061.00 0.00 0.00 7687.00 8260.00 -573.00 350.00 58.00 278.00 688.00 0.00 688.00
"196404" 9862.00 681.00 0.00 2674.00 0.00 1374.00 0.00 693.00 607.00 5610.00 897.00 556.00 -556.00 9771.00 0.00 0.00 8377.00 9200.00 -823.00 350.00 60.00 298.00 686.00 0.00 686.00
"196501" 9051.00 687.00 0.00 2104.00 0.00 955.00 0.00 750.00 399.00 5572.00 688.00 575.00 -575.00 8945.00 0.00 0.00 7542.00 8298.00 -756.00 360.00 67.00 300.00 676.00 0.00 676.00
"196502" 10499.00 698.00 0.00 3132.00 0.00 1510.00 0.00 835.00 787.00 5592.00 1077.00 595.00 -595.00 10363.00 0.00 0.00 8973.00 9651.00 -678.00 360.00 64.00 291.00 675.00 0.00 675.00
"196503" 8511.00 709.00 0.00 1721.00 0.00 595.00 0.00 754.00 372.00 5420.00 661.00 616.00 -616.00 8340.00 0.00 0.00 6941.00 7489.00 -548.00 370.00 82.00 281.00 666.00 0.00 666.00
"196504" 10349.00 711.00 0.00 2449.00 0.00 1082.00 0.00 453.00 914.00 5986.00 1203.00 637.00 -637.00 10147.00 0.00 0.00 8737.00 9047.00 -310.00 370.00 93.00 281.00 666.00 0.00 666.00
"196601" 9123.00 730.00 0.00 1605.00 0.00 909.00 0.00 333.00 363.00 6137.00 651.00 659.00 -659.00 8889.00 0.00 0.00 7479.00 8123.00 -644.00 380.00 101.00 274.00 655.00 0.00 655.00
"196602" 10507.00 746.00 0.00 2303.00 0.00 818.00 0.00 618.00 867.00 6303.00 1155.00 682.00 -682.00 10257.00 0.00 0.00 8855.00 9160.00 -305.00 390.00 84.00 281.00 647.00 0.00 647.00
"196603" 8930.00 764.00 0.00 1595.00 0.00 893.00 0.00 324.00 378.00 5905.00 666.00 706.00 -706.00 8664.00 0.00 0.00 7247.00 7300.00 -53.00 400.00 92.00 288.00 637.00 0.00 637.00
"196604" 11286.00 784.00 0.00 3235.00 0.00 1742.00 0.00 465.00 1028.00 5950.00 1317.00 730.00 -730.00 10957.00 0.00 0.00 9576.00 9641.00 -65.00 410.00 95.00 250.00 626.00 0.00 626.00
"196701" 11449.00 846.00 0.00 3379.00 0.00 2140.00 0.00 783.00 456.00 6479.00 745.00 738.00 -738.00 11094.00 0.00 0.00 9667.00 8905.00 762.00 420.00 133.00 253.00 621.00 0.00 621.00
"196702" 11516.00 912.00 0.00 2340.00 0.00 710.00 0.00 638.00 992.00 6983.00 1281.00 747.00 -747.00 11104.00 0.00 0.00 9705.00 8406.00 1299.00 430.00 109.00 249.00 611.00 0.00 611.00
"196703" 12971.00 950.00 0.00 2632.00 0.00 985.00 0.00 469.00 1178.00 7922.00 1467.00 755.00 -755.00 12486.00 0.00 0.00 11057.00 9481.00 1576.00 440.00 145.00 245.00 599.00 0.00 599.00
"196704" 14731.00 990.00 0.00 2888.00 0.00 983.00 0.00 506.00 1399.00 9164.00 1689.00 764.00 -764.00 14185.00 0.00 0.00 12745.00 10586.00 2159.00 450.00 151.00 253.00 586.00 0.00 586.00
"196801" 13602.00 1124.00 0.00 2509.00 0.00 968.00 0.00 454.00 1087.00 8593.00 1376.00 773.00 -773.00 13000.00 0.00 0.00 11519.00 9950.00 1569.00 460.00 201.00 250.00 570.00 0.00 570.00
"196802" 15112.00 1274.00 0.00 2305.00 0.00 905.00 0.00 669.00 731.00 10514.00 1019.00 781.00 -781.00 14439.00 0.00 0.00 12962.00 9240.00 3722.00 480.00 194.00 252.00 551.00 0.00 551.00
"196803" 17661.00 1398.00 0.00 4211.00 0.00 2543.00 0.00 663.00 1005.00 10759.00 1293.00 790.00 -790.00 16925.00 0.00 0.00 15403.00 10250.00 5153.00 500.00 225.00 262.00 535.00 0.00 535.00
"196804" 18513.00 1465.00 0.00 3534.00 0.00 1766.00 0.00 548.00 1220.00 12005.00 1509.00 799.00 -799.00 17690.00 0.00 0.00 16199.00 11321.00 4878.00 510.00 199.00 255.00 527.00 0.00 527.00
"196901" 14615.00 1487.00 0.00 1823.00 0.00 733.00 0.00 345.00 745.00 10271.00 1034.00 809.00 -809.00 13739.00 0.00 0.00 12233.00 10750.00 1483.00 520.00 209.00 256.00 521.00 0.00 521.00
"196902" 15847.00 1470.00 0.00 2851.00 0.00 1120.00 0.00 336.00 1395.00 9841.00 1685.00 818.00 -818.00 14953.00 0.00 0.00 13509.00 10238.00 3271.00 540.00 144.00 260.00 500.00 0.00 500.00
"196903" 12890.00 1427.00 0.00 2087.00 0.00 866.00 0.00 350.00 871.00 8216.00 1160.00 827.00 -827.00 12030.00 0.00 0.00 10563.00 10350.00 213.00 560.00 163.00 263.00 481.00 0.00 481.00
"196904" 15402.00 1386.00 0.00 3670.00 0.00 1728.00 0.00 361.00 1581.00 8476.00 1870.00 837.00 -837.00 14553.00 0.00 0.00 13173.00 10522.00 2651.00 580.00 147.00 196.00 457.00 0.00 457.00
"197001" 13071.00 1322.00 0.00 3436.00 0.00 2155.00 0.00 557.00 724.00 7298.00 1015.00 846.00 -846.00 12285.00 0.00 0.00 10932.00 9450.00 1482.00 590.00 119.00 196.00 448.00 0.00 448.00
"197002" 11741.00 1225.00 0.00 2351.00 0.00 620.00 0.00 390.00 1341.00 6532.00 1633.00 856.00 -856.00 10996.00 0.00 0.00 9656.00 8302.00 1354.00 600.00 108.00 194.00 438.00 0.00 438.00
"197003" 13298.00 1131.00 0.00 3850.00 0.00 2007.00 0.00 612.00 1231.00 6795.00 1522.00 866.00 -866.00 12576.00 0.00 0.00 11212.00 9450.00 1762.00 600.00 135.00 192.00 437.00 0.00 437.00
"197004" 16246.00 1073.00 0.00 6003.00 0.00 3398.00 0.00 915.00 1690.00 7188.00 1982.00 875.00 -875.00 15509.00 0.00 0.00 14153.00 10589.00 3564.00 610.00 150.00 169.00 427.00 0.00 427.00
"197101" 14861.00 1040.00 0.00 4520.00 0.00 1924.00 0.00 890.00 1706.00 7302.00 1999.00 885.00 -885.00 14097.00 0.00 0.00 12728.00 10250.00 2478.00 620.00 160.00 174.00 415.00 0.00 415.00
"197102" 14332.00 1059.00 0.00 3394.00 0.00 1477.00 0.00 489.00 1428.00 8159.00 1720.00 896.00 -896.00 13510.00 0.00 0.00 12176.00 9897.00 2279.00 630.00 120.00 181.00 403.00 0.00 403.00
"197103" 14491.00 1087.00 0.00 3579.00 0.00 1884.00 0.00 946.00 749.00 8785.00 1040.00 906.00 -906.00 13607.00 0.00 0.00 12257.00 10750.00 1507.00 650.00 130.00 188.00 382.00 0.00 382.00
"197104" 17610.00 1097.00 0.00 4642.00 0.00 1799.00 0.00 1028.00 1815.00 9764.00 2107.00 916.00 -916.00 16700.00 0.00 0.00 15299.00 11702.00 3597.00 670.00 140.00 224.00 367.00 0.00 367.00
"197201" 17309.00 1101.00 0.00 3316.00 250.00 1397.00 0.00 714.00 955.00 11646.00 1246.00 927.00 -927.00 16242.00 0.00 0.00 14646.00 12550.00 2096.00 690.00 150.00 229.00 527.00 0.00 527.00
"197202" 18628.00 1106.00 0.00 3303.00 500.00 1107.00 0.00 767.00 929.00 13000.00 1219.00 937.00 -937.00 17428.00 0.00 0.00 15671.00 13345.00 2326.00 710.00 123.00 232.00 692.00 0.00 692.00
"197203" 18761.00 1104.00 0.00 3569.00 750.00 1770.00 0.00 644.00 405.00 13394.00 694.00 948.00 -948.00 17547.00 0.00 0.00 15562.00 14950.00 612.00 730.00 151.00 235.00 869.00 0.00 869.00
"197204" 22935.00 1081.00 0.00 5958.00 1000.00 2012.00 0.00 912.00 2034.00 13485.00 2411.00 959.00 -959.00 21739.00 0.00 0.00 19502.00 16793.00 2709.00 750.00 165.00 285.00 1037.00 0.00 1037.00
"197301" 18448.00 1040.00 0.00 3920.00 1250.00 1365.00 0.00 595.00 710.00 12401.00 1087.00 970.00 -970.00 16977.00 0.00 0.00 14819.00 14510.00 309.00 760.00 180.00 260.00 958.00 1000.00 -42.00
"197302" 17755.00 975.00 0.00 4587.00 1500.00 1430.00 0.00 687.00 970.00 10845.00 1348.00 981.00 -981.00 16017.00 0.00 0.00 13976.00 12560.00 1416.00 770.00 144.00 243.00 884.00 1250.00 -366.00
"197303" 16902.00 907.00 0.00 4897.00 1750.00 1889.00 0.00 718.00 540.00 10181.00 917.00 992.00 -992.00 14907.00 0.00 0.00 12905.00 12257.00 648.00 780.00 156.00 236.00 830.00 3000.00 -2170.00
"197304" 20294.00 854.00 0.00 7526.00 2000.00 2008.00 0.00 1130.00 2388.00 9149.00 2765.00 1003.00 -1003.00 18067.00 0.00 0.00 16075.00 12502.00 3573.00 790.00 153.00 254.00 795.00 3250.00 -2455.00
"197401" 16459.00 818.00 0.00 5287.00 2250.00 971.00 0.00 590.00 1476.00 8502.00 1852.00 1015.00 -1015.00 13966.00 0.00 0.00 12017.00 10937.00 1080.00 810.00 140.00 238.00 761.00 4000.00 -3239.00
"197402" 17469.00 791.00 0.00 6092.00 2500.00 827.00 0.00 588.00 2177.00 8033.00 2553.00 1026.00 -1026.00 14790.00 0.00 0.00 12850.00 9715.00 3135.00 830.00 82.00 302.00 726.00 4250.00 -3524.00
