,historical VaR,parametric VaR normal,parametric VaR student,MC VaR levy,historical ES,parametric ES normal,parametric ES student,MC ES levy
OFMN.PA,-0.09505334626576144,-0.0650094868018669,-0.0748689024732103,-0.17324912580673285,-0.12181208333396043,-0.07265490937384862,-0.09526929628575008,-0.4788236183336172
NRO.PA,-0.04328358208955224,-0.03460632238862262,-0.03923751601898434,-0.09168997732995214,-0.0519052259485308,-0.038724449136576265,-0.04850449461403995,-0.22321712413544453
OPEN.PA,-0.06474820143884892,-0.05318308242426486,-0.060402095789364445,-0.12326520604081179,-0.07584830270106158,-0.05942648048574445,-0.074925902817073,-0.5165713047497053
ALMIC.PA,-0.10028653295128938,-0.06111296055405992,-0.07174729348063251,-0.265069769306124,-0.14823164301869615,-0.06823331388258236,-0.09497897687742088,-1.0575565311741648
ALOCT.PA^B17,-0.09471772827455806,-0.06869699495084776,-0.08053817451938963,-13.856784917717452,-0.1455299348359599,-0.07683126511430004,-0.10612754794441173,-23686.9285941773
DIREN.PA,-0.09661016949152547,-0.08658646294282044,-0.09878775980933326,-0.2263994681852908,-0.12484261805545231,-0.09675028117916136,-0.12354344850017353,-0.7374417929053796
TESI.PA,-0.05416248746238717,-0.0424929293921623,-0.0488925724131662,-0.15155907261419838,-0.0680408491501948,-0.0475208904694538,-0.06208236938747154,-0.5866614414902168
SESL.PA,-0.0636704119850187,-0.04678414621797702,-0.05425076012848293,-0.20527649602286352,-0.07541637366089304,-0.052302577971663114,-0.06994450210152342,-0.6422368842950051
ALMIL.PA,-0.06511753580113475,-0.04424091220728799,-0.05289990658212481,-15.853356344931777,-0.08914230201134915,-0.04944373989021032,-0.07282880839837588,-360739.3778678449
ALJEM.PA1^I14,-0.11908646003262635,-0.07547430224344327,-0.09265352699684852,-0.014433003392376508,-0.19998544395924306,-0.08396594816547338,-0.1373228398743006,-16.11588766258113
SQLI.PA,-0.07692307692307689,-0.05651774888444557,-0.06479398290947504,-0.14680896294093543,-0.10829548582076519,-0.06313937077333236,-0.0817630013924609,-0.49479275586570254
MAGIS.PA,-0.048143053645116875,-0.038180786364707744,-0.04519515059385648,-11.46964470381826,-0.07353105240967198,-0.04266939625326786,-0.060836798395424545,-445000.81759175425
FGA.PA,-0.049195837275307436,-0.049960652668741355,-0.05671759803887057,-0.0819892258991084,-0.08265357717413706,-0.05587099452650538,-0.07028057069466034,-0.19368304071585618
VLTSA.PA,-0.09185803764620558,-0.07355959959548423,-0.08305551181789655,-0.30722891831599386,-0.0972798683125582,-0.08208989869525772,-0.10202234135097553,-1.3369698632741365
ALFOC.PA,-0.061679790026246725,-0.05242803256287475,-0.05989005074334938,-0.24573067823247613,-0.07304274280686368,-0.05869880286996783,-0.07499842228976665,-0.7399793324912
PHAI.PA,-0.050966608084358524,-0.0380563232868821,-0.04432528006712558,-0.26641675212368426,-0.06997162579103455,-0.042572050572186375,-0.05762383473349744,-2.8982775336672746
ALWIT.PA,-0.08158220024721881,-0.057689524825312914,-0.06766176898675152,-0.13938840758773108,-0.16567255671075878,-0.0643999832349338,-0.08940015932638663,-0.37773290383569735
AURS.PA,-0.0798927613941018,-0.057591376526792325,-0.06647913188963761,-0.931068002469708,-0.10425397494674898,-0.06440631111651704,-0.08493333939684812,-7.013895002860906
ABEO.PA,-0.04936667749269237,-0.044894723924573526,-0.051859253688919596,-0.1711676799427491,-0.05511811023622025,-0.0504793345255154,-0.06613001778476764,-0.6343003839490385
