"Dow","CAC","Date"
8.67886293716953,7.65131031549469,1996-09-25
8.67741399891336,7.651643147821,1996-09-26
8.67810722049001,7.65306792003218,1996-09-27
8.67968100716998,7.66519097239894,1996-09-30
8.68353777709066,7.66067964049957,1996-10-01
8.68844878145832,7.66940189884473,1996-10-02
8.68826000013801,7.66673706134163,1996-10-03
8.69832401673743,7.67447812443829,1996-10-04
8.6961440837312,7.67396707594659,1996-10-07
8.69396102479843,7.67855770410769,1996-10-08
8.68788405937433,7.67168703543431,1996-10-09
8.68637376951949,7.66650296251477,1996-10-10
8.69439832879725,7.67187341905562,1996-10-11
8.70118002752925,7.67024198333818,1996-10-14
8.7003110619016,7.68169875196852,1996-10-15
8.70297709054599,7.67716881499553,1996-10-16
8.70933308933,7.6803142215959,1996-10-17
8.715097697593,7.68946261409799,1996-10-18
8.71454622685277,7.68717187221926,1996-10-21
8.70976203249308,7.68505981259385,1996-10-22
8.70557301993341,7.67271131668379,1996-10-23
8.69826062546024,7.67396707594659,1996-10-24
8.70068406762303,7.67897394964222,1996-10-25
8.69495938494668,7.67340910475591,1996-10-28
8.70068406762303,7.66185641582785,1996-10-29
8.69838577449246,7.66143298234311,1996-10-30
8.70439944579284,7.668794725585,1996-10-31
8.70316311415546,7.668794725585,1996-11-01
8.70643742707985,7.66958859445685,1996-11-04
8.71295406401845,7.69042320788254,1996-11-05
8.72870292530623,7.70228502955491,1996-11-06
8.7332782966472,7.70156196479516,1996-11-07
8.73549621811109,7.69857346449532,1996-11-08
8.74123235722802,7.69857346449532,1996-11-11
8.74289986137362,7.70935323951082,1996-11-12
8.74420767842241,7.7040003954457,1996-11-13
8.75036627836763,7.70445131308066,1996-11-14
8.75589977366428,7.71436508632495,1996-11-15
8.7557233838573,7.70921862501047,1996-11-18
8.76367821433592,7.71427583045781,1996-11-19
8.76873293075714,7.7112803231324,1996-11-20
8.76693508402189,7.71136995644341,1996-11-21
8.77520333907536,7.72112695684845,1996-11-22
8.78688287307162,7.73065802557181,1996-11-25
8.78391872493981,7.729779329538,1996-11-26
8.77945588826437,7.72788749287487,1996-11-27
8.77945588826437,7.73643811372935,1996-11-28
8.78289038703142,7.74746727546401,1996-11-29
8.78289038703142,7.74871887650318,1996-12-02
8.77070142459095,7.76178759677782,1996-12-03
8.7676312265991,7.74443985331421,1996-12-04
8.76983342234339,7.73739820413062,1996-12-05
8.7612273961076,7.71454357416296,1996-12-06
8.77399430885207,7.7212599779276,1996-12-09
8.77543357976788,7.71930748039223,1996-12-10
8.76444694497235,7.70223991558689,1996-12-11
8.74889362175466,7.70169761387877,1996-12-12
8.74907764818684,7.69775685642925,1996-12-13
8.74326845673421,7.70643300484405,1996-12-16
8.74962627360042,7.69334487259495,1996-12-17
8.75570130420852,7.70476681240634,1996-12-18
8.77549384705925,7.71810752865242,1996-12-19
8.77715455615422,7.73127261070394,1996-12-20
8.77786679983755,7.73517103750371,1996-12-23
8.78306669100161,7.73613245160442,1996-12-24
8.78671335678201,7.74231523376161,1996-12-26
8.78888461560686,7.74370325817375,1996-12-27
8.7871241586616,7.74871887650318,1996-12-30
8.77156715986053,7.74746727546401,1996-12-31
8.7706704266542,7.72179177681754,1997-01-02
8.78631760740594,7.73315806012742,1997-01-03
8.78983982239142,7.74357318946378,1997-01-06
8.79492494664885,7.74140323804104,1997-01-07
8.78714093311114,7.75431004820262,1997-01-08
8.798706766044,7.76178759677782,1997-01-09
8.81042832290656,7.75255000915122,1997-01-10
8.81123204306753,7.7669676145678,1997-01-13
8.81911687483541,7.78409867454433,1997-01-14
8.81386670191257,7.77821147451249,1997-01-15
8.81957224967743,7.78646876685145,1997-01-16
8.82953374387588,7.79362808004546,1997-01-17
8.83110865718735,7.78576249916049,1997-01-20
8.83694061655169,7.78734049118229,1997-01-21
8.832008279422,7.80077738391694,1997-01-22
8.81814927309856,7.80844496453582,1997-01-23
8.80933729120126,7.79577000566668,1997-01-24
8.80397835291361,7.79778414754582,1997-01-27
8.80328601337819,7.81714225427528,1997-01-28
8.81592502487878,7.80994708647679,1997-01-29
8.82818055305795,7.82528528184269,1997-01-30
8.82660101782895,7.8306641020993,1997-01-31
8.82558338637376,7.82748014665619,1997-02-03
8.82958933671592,7.82528528184269,1997-02-04
8.81683840459029,7.84043105938709,1997-02-05
8.82070826659032,7.8471373037745,1997-02-06
8.83285025988046,7.86230472297338,1997-02-07
8.82563919940052,7.86149588854402,1997-02-10
8.83318715257959,7.85635833827714,1997-02-11
8.84816890450489,7.86299747584246,1997-02-12
8.85686600657444,7.87413053773867,1997-02-13
8.85208703460108,7.87375000573618,1997-02-14
8.85208703460108,7.87644868964934,1997-02-17
8.86325642432354,7.86997494274469,1997-02-18
8.85653699870055,7.86126474022282,1997-02-19
8.84323693743127,7.85368246095695,1997-02-20
8.84384884797782,7.84885570888458,1997-02-21
8.85483619884634,7.85084368507819,1997-02-24
8.85905517408339,7.86622386696466,1997-02-25
8.85125970460396,7.86411250123915,1997-02-26
8.84290341389279,7.87451092499164,1997-02-27
8.83604542261398,7.86626225177916,1997-02-28
8.84201495579403,7.86338212081264,1997-03-03
8.83240096410713,7.8829562042563,1997-03-04
8.8458996520173,7.88840949830136,1997-03-05
8.84573408579014,7.90059952526098,1997-03-06
8.85379258238157,7.90407642885431,1997-03-07
8.86494304413579,7.90440864925423,1997-03-10
8.86575775680931,7.89588281623359,1997-03-11
8.85927397313218,7.87917790974563,1997-03-12
8.83621260061784,7.87553732287706,1997-03-13
8.84440265513499,7.88065319871022,1997-03-14
8.84728511419773,7.85879516532188,1997-03-17
8.83877802409797,7.85321638815607,1997-03-18
8.83603669034725,7.8620352156297,1997-03-19
8.82765577418959,7.8452985477019,1997-03-20
8.82538206067864,7.85829287413173,1997-03-21
8.84003727083607,7.85527334227027,1997-03-24
8.83581707853015,7.87256949146883,1997-03-25
8.83647569827799,7.881824214076,1997-03-26
8.81590271402382,7.88484001164495,1997-03-27
8.7923187568561,7.88484001164495,1997-03-31
8.79649774096123,7.85624212805162,1997-04-01
8.78216942633238,7.83609317113225,1997-04-02
8.77607445913277,7.82982925561202,1997-04-03
8.78356481537459,7.83122021460429,1997-04-04
8.78812067159585,7.85255573835111,1997-04-07
8.79621792628116,7.85515700588134,1997-04-08
8.7893249528113,7.8700131838473,1997-04-09
8.78570005986567,7.86633892304654,1997-04-10
8.76275558318592,7.8534494992897,1997-04-11
8.77212992486561,7.85014255376782,1997-04-14
8.79287760229684,7.8711586155665,1997-04-15
8.80685382277879,7.87131120332341,1997-04-16
8.80366454594477,7.86909583667338,1997-04-17
8.81036269504026,7.84290705696479,1997-04-18
8.80390482239197,7.83308501608333,1997-04-21
8.8296069144281,7.82990877163924,1997-04-22
8.82654382496175,7.83739653390457,1997-04-23
8.82354486791806,7.83984063604779,1997-04-24
8.8156519712968,7.83846162441008,1997-04-25
8.82217476094608,7.84396629750485,1997-04-28
8.84822206837138,7.86438144939538,1997-04-29
8.85495031650033,7.87834478426367,1997-04-30
8.85030263733226,7.87834478426367,1997-05-01
8.86378550332339,7.8843129400966,1997-05-02
8.88373452668531,7.89088190937538,1997-05-05
8.88534400762145,7.88303160624953,1997-05-06
8.86582687720513,7.87978343407823,1997-05-07
8.87299176517478,7.87978343407823,1997-05-08
8.87759119615509,7.87622087930322,1997-05-09
8.89464281231266,7.89844826182004,1997-05-12
8.89208914716436,7.90824012568701,1997-05-13
8.89373745385861,7.92826190696703,1997-05-14
8.90020817068681,7.9287663216267,1997-05-15
