,assetmanager,staticfund,CAC 40 net return close,FR0000051732,FR0000120073,FR0000120172,FR0000120271,FR0000120404,FR0000120503,FR0000120578,FR0000120644,FR0000120693,FR0000121014,FR0000121147,FR0000121261,FR0000121329,FR0000121501,FR0000121972,FR0000125007,FR0000125338,FR0000125486,FR0000125585,FR0000127771,FR0000130577,FR0000133308,FR0004035913,FR0010208488,FR0010220475,FR0010242511,FR0010533075,FR0010613471,FR0012942647,FR0013176526,FR0013181864
2017-02-27,58.64,60.0387347870886,58.48006806291516,112.0,93.13637295,22.215,47.24,37.2,35.925,80.43,62.71,108.4,189.85,41.645,106.1,89.72,17.99,64.16,45.08,80.86,67.44,49.95,16.515,63.22,14.265,196.5,11.505,25.38,8.4378931,8.825,14.15,0.745,58.19,3.44965764
2017-02-28,58.76,60.160871296074596,58.641793506100896,111.5,92.63637290000001,22.54,47.05,37.25,36.37,81.33,62.56,107.9,189.45,41.49,106.05,93.0,17.96,63.89,45.23,80.69,68.01,49.915,16.655,63.63,14.265,195.45,11.54,25.625,8.57697925,8.8,14.155,0.75,58.01,3.46573996
2017-03-01,59.56,61.201167375027524,59.87591999353383,111.3,94.13637305,22.8,47.75,37.52,37.1,82.82,62.86,109.0,195.3,42.195,107.3,92.0,18.41,65.27,46.1,82.24,69.73,50.59,16.73,64.59,14.4,197.4,11.645,25.645,8.665994386,8.783999999999999,13.9,0.821,59.54,3.59439852
2017-03-02,59.59,61.097230370338536,59.911824766335535,110.55,93.40910025,22.81,47.795,37.305,36.98,82.64,62.73,108.8,194.1,41.985,107.0,91.72,18.525,65.12,45.595,83.37,69.92,50.41,16.68,64.21,14.37,199.75,12.605,25.44,8.87369637,8.699,13.955,0.843,59.56,3.58233678
2017-03-03,59.89,61.28743285246041,60.28984105356859,110.65,93.4545548,22.835,48.075,37.295,37.255,83.59,62.53,108.4,194.35,41.81,106.5,91.72,19.06,65.3,46.17,84.02,70.0,50.83,16.545,63.09,14.375,200.7,12.795,25.56,8.98496529,8.796,13.89,0.8959999999999999,59.49,3.22852574
2017-03-06,59.65,61.020653985475626,60.01307253046246,110.3,93.4545548,22.91,48.03,37.25,37.165,82.45,62.5,108.45,193.75,41.34,106.05,91.63,19.58,65.18,45.52,83.23,69.99,52.21,16.565,62.4,14.4,201.8,12.75,25.555,8.918203938,8.755,13.895,0.89,59.0,2.99131152
2017-03-07,59.53,60.912876536358354,59.80546534501727,110.85,92.81819109999999,22.795,47.705,37.485,36.925,81.8,61.87,107.55,193.75,41.75,106.7,91.31,19.685,65.27,45.75,83.61,70.06,49.29,16.735,62.5,14.345,204.15,12.665,25.675,8.599233034,8.732999999999999,13.605,0.856,59.2,2.77822078
2017-03-08,59.51,60.96998567304791,59.87173212981081,110.7,92.95455475,22.715,47.165,37.25,37.185,82.15,61.83,107.7,194.8,42.105,106.65,91.65,19.71,65.22,45.82,83.65,70.32,49.45,16.825,62.69,14.385,205.0,12.595,25.79,7.9179999999999975,8.722000000000001,13.63,0.9,59.1,2.8546118
2017-03-09,59.53,60.96951917634327,60.12552898867158,112.2,93.0000093,21.8,46.79,38.015,37.525,82.32,62.45,108.1,195.65,41.37,105.05,89.72,19.5,64.51,46.22,83.21,70.74,49.025,17.345,62.94,14.635,207.8,12.72,25.625,7.94,8.68,13.765,0.9129999999999999,58.29,2.74203556
2017-03-10,59.61,61.120147632708836,60.26803952771643,111.85,93.0000093,21.565,47.265,38.1,37.915,82.24,62.84,108.0,196.4,41.64,106.15,88.93,19.28,65.26,46.125,82.85,70.34,49.43,17.325,62.31,14.765,210.95,12.56,25.435,7.885,8.762,13.705,0.995,58.29,2.71791208
