,KS p-value normal,KS p-value student,KS p-value stable,t-Student nu,levy alpha,levy beta,levy mu,levy sigma,levy neglog
EOSI.PA,5.012789683485809e-10,1.2273157494914738e-14,1.3244854301574532e-09,8.448437500000017,1.3773335346247395,0.12102151819797759,-0.07738550922427874,0.4102776307847171,1812.0235493438272
ALESA.PA,3.75116134355146e-06,8.635087511698653e-08,9.301455546556866e-07,6.645703125000011,1.3116698377535188,0.1754253076216249,-0.07508612492992184,0.36138349152962224,836.8567167088129
MCPHY.PA,2.1256950892460613e-12,2.2184167513101416e-11,0.0030951740595178082,7.791601562500015,1.4044793626404604,0.09662588829065012,-0.07794058280579845,0.39456261896334577,1118.9545556812009
GVI.PA,1.3134850771770242e-10,3.53626588784301e-12,0.0029698550764494483,7.086328125000012,1.4290362812761048,0.11002867215633519,-0.09800454791837701,0.36696296371499715,1036.8335629148023
AWOX.PA,5.249217208530209e-16,3.125203722969454e-13,3.765724806946128e-11,6.818066406250011,1.158570225007137,-0.09074630254253913,-0.008709317616431315,0.2518399432758464,865.4362351667093
MRSP.PA,7.629889757661433e-11,2.235660558062052e-06,2.5208212175004842e-14,10.482519531250022,1.690607033699198,0.2930875520961457,-0.07356963494630073,0.5677419538683611,3791.077048160588
LOCAL.PA,3.008577613602315e-23,2.5160387510160057e-17,0.0006196175314763148,7.2629882812500135,1.4455012718662577,0.057222131586393964,-0.040573246228734317,0.4211115919705784,3360.92227279041
FR0011337864=,3.803040777080349e-76,7.834361421075843e-88,8.068353868353793e-132,4.599804687500008,0.5,-0.07099393882355047,-0.024179720040122078,1e-06,-9689.816143766311
BE099229390=,7.953305335181985e-06,5.192614106884583e-09,0.10480190280344376,8.553417968750015,1.4033221110438574,0.01126907966738075,-0.02374929157247408,0.435956145089594,1359.9593561078502
EDSP.PA,2.4913432141847196e-08,1.424675083440294e-07,1.9377937086342422e-07,9.40341796875002,1.6062691255887167,0.08791916007651332,-0.027959952677294706,0.5181787949752121,3650.603399969719
ALGEV.PA,1.8117999726125862e-23,2.5852421983641607e-23,3.256758708978957e-13,6.2423828125000105,0.5,0.026042628330283875,-0.06962990161719507,0.053385859871267455,1344.0019917401123
PASS.PA,4.254481625023636e-37,2.5349684463110097e-38,7.915798185706935e-25,6.619042968750012,0.5,-0.041867351291599374,-0.010730171796345809,0.06859695896318727,2330.090162009633
CBLP.PA,7.762404337909718e-06,5.176534689620896e-06,0.004547396744501993,10.40517578125002,1.669403744069747,0.14957669825421674,-0.03828500237774899,0.5643986775315027,3811.784864382824
DOMS.PA,1.3835423439998131e-42,1.2266018582608401e-36,1.1192089497830115e-17,7.511718750000014,0.5,-0.02022535827929166,-0.027695444679243213,0.061397795410561146,2424.3711478883943
SAMS.PA,5.1731407672584686e-73,1.9354022527963186e-73,1.6472557453115463e-49,5.304296875000009,0.5,0.10256382553930682,-0.022838048858964167,0.0062353337795799406,-499.9419805136347
MED6.PA,7.567173286633061e-100,6.1527702044417504e-89,7.084104537730108e-97,5.76562500000001,0.5,0.20684450037858426,-0.01715355589980412,0.0050929216761470145,-42.44066337446148
ALGIL.PA,3.046229697339836e-39,4.489360789999162e-43,4.272609171177883e-18,6.408300781250011,0.5,0.022263250594479842,-0.04394237587013487,0.05349148372956635,2044.093917241988
