country,year,loggdp,loginv,logpop,loghcap
DNK,1974,-1.501033,-1.401863,14.98969,2.31778
DNK,1975,-1.514366,-1.51851,14.99074,2.325307
DNK,1976,-1.457159,-1.438481,14.99268,2.332434
DNK,1977,-1.441501,-1.469689,14.99662,2.339562
DNK,1978,-1.424238,-1.485416,15.00184,2.34669
DNK,1979,-1.391704,-1.515212,15.00805,2.353818
DNK,1980,-1.401817,-1.614873,15.01451,2.360948
DNK,1981,-1.41747,-1.795135,15.02125,2.364677
DNK,1982,-1.387205,-1.754368,15.02745,2.368541
DNK,1983,-1.365545,-1.732362,15.03197,2.37254
DNK,1984,-1.328447,-1.673847,15.03568,2.376672
DNK,1985,-1.292384,-1.583046,15.03907,2.380943
DNK,1986,-1.247994,-1.499991,15.04299,2.383575
DNK,1987,-1.249888,-1.5247,15.04778,2.3862
DNK,1988,-1.254738,-1.595502,15.0512,2.388818
DNK,1989,-1.251565,-1.595864,15.05374,2.391795
DNK,1990,-1.24065,-1.624484,15.05754,2.394763
DNK,1991,-1.231871,-1.668879,15.06168,2.397741
DNK,1992,-1.215741,-1.722797,15.06511,2.401634
DNK,1993,-1.219942,-1.767243,15.06842,2.404483
DNK,1994,-1.169217,-1.751448,15.07148,2.407323
DNK,1995,-1.14322,-1.685688,15.07567,2.412847
DNK,1996,-1.119379,-1.674436,15.07978,2.41694
DNK,1997,-1.090064,-1.622059,15.08195,2.421203
DNK,1998,-1.070137,-1.579078,15.0834,2.425617
DNK,1999,-1.045877,-1.611086,15.08442,2.435462
DNK,2000,-1.012239,-1.593767,15.08546,2.436994
DNK,2001,-1.006631,-1.614231,15.08688,2.438531
DNK,2002,-1.002904,-1.62302,15.0878,2.440058
DNK,2003,-0.9965535,-1.629945,15.08836,2.453519
DNK,2004,-0.9791442,-1.612315,15.08948,2.458049
ESP,1960,,,16.73819,
ESP,1961,,,16.74502,
ESP,1962,,,16.75246,
ESP,1963,,,16.7599,
ESP,1964,,-1.43433,16.76734,
ESP,1965,,-1.383072,16.77467,
ESP,1966,,-1.375411,16.78209,
ESP,1967,,-1.370475,16.78951,
ESP,1968,-4.505901,-1.353762,16.79688,
ESP,1969,-4.420574,-1.341614,16.80423,1.739274
ESP,1970,-4.378994,-1.339292,16.81158,1.742247
ESP,1971,-4.351086,-1.427781,16.82912,1.752977
ESP,1972,-4.280189,-1.38174,16.83657,1.763707
ESP,1973,-4.214653,-1.324566,16.84604,1.774437
ESP,1974,-4.169453,-1.267929,16.8555,1.785166
ESP,1975,-4.17437,-1.324946,16.86583,1.795896
ESP,1976,-4.153822,-1.383554,16.87778,1.80611
ESP,1977,-4.139054,-1.424207,16.891,1.816323
ESP,1978,-4.133836,-1.478969,16.90031,1.826537
ESP,1979,-4.146577,-1.527875,16.91347,1.83675
ESP,1980,-4.138873,-1.497047,16.92761,1.846958
ESP,1981,-4.152246,-1.502581,16.93966,1.856595
ESP,1982,-4.153534,-1.512741,16.95333,1.866851
ESP,1983,-4.146303,-1.540416,16.96365,1.877754
ESP,1984,-4.141199,-1.627547,16.97623,1.889355
ESP,1985,-4.132282,-1.601028,16.99026,1.901719
ESP,1986,-4.116425,-1.574799,17.00642,1.90975
ESP,1987,-4.071434,-1.517932,17.01542,1.918084
ESP,1988,-4.033514,-1.439414,17.02719,1.926756
ESP,1989,-3.996486,-1.383632,17.0373,1.935759
ESP,1990,-3.964221,-1.373866,17.04215,1.951892
ESP,1991,-3.945958,-1.402827,17.04903,1.96763
ESP,1992,-3.943397,-1.485587,17.05572,1.984265
ESP,1993,-3.959684,-1.569725,17.06164,2.003262
ESP,1994,-3.942076,-1.576844,17.06758,2.023189
ESP,1995,-3.920863,-1.53607,17.07357,2.044229
ESP,1996,-3.904763,-1.541146,17.08135,2.069391
ESP,1997,-3.874144,-1.521921,17.08869,2.087186
ESP,1998,-3.835618,-1.467715,17.09388,2.104658
ESP,1999,-3.795567,-1.403924,17.10019,2.123709
ESP,2000,-3.756056,-1.353578,17.10995,2.150086
ESP,2001,-3.733179,-1.3485,17.1229,2.175797
ESP,2002,-3.723375,-1.339408,17.13978,2.189304
ESP,2003,-3.711365,-1.306559,17.15777,2.202301
ESP,2004,-3.697083,-1.27639,17.17541,2.223347
FIN,1960,,,14.83038,
FIN,1961,,,14.84549,
FIN,1962,,,14.86178,
FIN,1963,,,14.87815,
FIN,1964,,-1.341925,14.89085,
